"","country","y","EnergyUse","GDP","pop","co2percap","Lowcarbon_energy","internet","urb"
"1822","Malaysia",2007,31499.4941704955,19546.985916628,26720367,6.8283,1.982,14830596,68.36
"1922","Mexico",2007,19336.0680109718,18462.840123233,109170503,4.3948,6.36,23273144,76.92
"2082","Morocco",2007,5810.26010158624,5687.22735240098,31163670,1.5695,1.929,6713564,56.317
"2142","Netherlands",2007,57090.4867707226,52909.9697572206,16506651,10.4128,3.183,14166355,84.539
"2172","New Zealand",2007,47153.7769023155,38687.8461497115,4233046,8.6598,33.891,2953046,86.34
"2262","North Macedonia",2007,17034.7983013526,12379.370695841,2065408,4.5432,8.212,749761,57.264
"2312","Norway",2007,68177.5867422443,64062.4369139561,4719403,9.6864,67.885,4102790,78.234
"2382","Pakistan",2007,5820.02470738809,3931.17578480943,167808106,0.9287,12.564,10902642,34.387
"2442","Peru",2007,5884.20357038865,8629.26453343658,28333050,1.2236,29.661,7129766,75.803
"2452","Philippines",2007,5027.23743919864,5474.68132696435,89405482,0.7915,15.883,5330821,45.54
"2462","Poland",2007,29393.7598272428,21543.1637013335,38353339,8.779,1.397,18628178,61.229
"2482","Portugal",2007,27940.2189792169,32251.5690977426,10573150,5.9062,15.163,4474218,58.749
"2542","Romania",2007,22144.6467860769,19833.9678688588,21034196,4.8188,14.06,5953219,53.436
"2552","Russia",2007,54775.4960349669,23647.2665058004,143266207,11.1998,11.444,35300825,73.553
"2722","Singapore",2007,54395.8860754666,74159.387383979,4578629,10.3783,0.202,3308037,100
"2742","Slovakia",2007,38616.8884193158,24127.8846772888,5398693,7.59,26.476,3336165,55.261
"2752","Slovenia",2007,42246.7347365522,34912.8471788592,2012128,8.6054,28.487,1142482,51.983
"2792","South Africa",2007,32280.4054555146,12402.0494604229,49119766,9.4626,2.859,4023588,60.616
"2832","South Korea",2007,53090.8084652589,31569.9311989123,49034813,10.664,14.499,38661194,81.631
"2902","Spain",2007,36983.7886695197,39520.8222657597,45429071,8.1126,16.52,25016555,77.74
"2912","Sri Lanka",2007,5427.80426855218,7865.36830357171,19842044,0.6124,16.582,768659,18.272
"2982","Sweden",2007,63640.9346058172,48557.3843477247,9162941,5.7809,61.347,7514776,84.588
"2992","Switzerland",2007,39667.8352355022,65641.7106078648,7536986,5.754,50.114,5836596,73.53
"3042","Thailand",2007,18492.5828964778,13460.0605585001,66182064,3.4663,2.678,13258982,39.95
"3092","Trinidad and Tobago",2007,169996.32640911,28700.8829937237,1308450,34.5711,0.026,422891,54.59
"3112","Turkey",2007,16714.2091932474,20009.688894664,69581854,4.4945,8.29,19925702,69.053
"3122","Turkmenistan",2007,53439.0201866804,6773.09569391502,4870142,11.4761,0.005,68492,47.581
"3162","Ukraine",2007,34845.9271649758,12829.03064807,46366347,7.2545,16.988,3038306,68.147
"3182","United Kingdom",2007,40026.2757490677,44138.5205042745,61455154,9.0999,8.623,46116268,80.479
"3192","United States",2007,90227.4704145111,55873.2447409949,300608425,20.3953,12.468,225446381,80.269
"3252","Uzbekistan",2007,20677.1487576299,3901.05877041586,27204711,4.3784,3.093,2044364,49.505
"3292","Vietnam",2007,6192.83359175182,4422.28537294526,85419588,1.1749,16.528,17826766,28.504
"3352","World",2007,21213.4587803191,13445.2712902526,6706251239,4.6962,12.729,1369818178,50.1550792476756
"63","Algeria",2008,12481.3829013743,10796.9025638468,34730604,3.1394,0.176,3548821,66.097
"136","Argentina",2008,22534.7708176507,23103.4565215341,40080159,4.6932,13.76,11352549,90.53
"194","Australia",2008,69369.0629708413,44835.3614074555,21332293,19.2034,3.437,15296165,84.943
"213","Austria",2008,46893.8861966646,53089.8763414956,8341525,8.808,29.866,6076231,57.966
"223","Azerbaijan",2008,17681.2508809366,12903.1519167445,8821869,4.0184,3.945,1506782,52.99
"253","Bangladesh",2008,2158.32000080053,2659.04923206241,144304164,0.3139,1.149,3720145,28.968
"273","Belarus",2008,34100.361060602,15942.8976797373,9452855,6.9227,0.064,2186686,73.726
"284","Belgium",2008,63437.7790625615,48422.5782305146,10778764,11.1498,17.111,7114254,97.555
"373","Brazil",2008,15054.8120900277,14114.9747702043,192030362,2.1488,43.192,65284806,83.749
